# z, h, chi
3.263263263263263436e+00 4.954713622242740811e+00 4.582449314639270597e+03
3.273273273273273443e+00 4.971689657389523731e+00 4.588495672894833660e+03
3.283283283283283449e+00 4.988687302767123022e+00 4.594521407693683614e+03
3.293293293293293456e+00 5.005706524010834713e+00 4.600526633297324224e+03
3.303303303303303462e+00 5.022747286945572931e+00 4.606511463110384284e+03
3.313313313313313468e+00 5.039809557584122857e+00 4.612476009688513841e+03
3.323323323323323475e+00 5.056893302125428313e+00 4.618420384746202217e+03
3.333333333333333481e+00 5.073998486952892684e+00 4.624344699164500526e+03
3.343343343343343488e+00 5.091125078632696699e+00 4.630249062998679619e+03
3.353353353353353494e+00 5.108273043912144651e+00 4.636133585485797994e+03
3.363363363363363501e+00 5.125442349718023927e+00 4.641998375052187839e+03
3.373373373373373507e+00 5.142632963154987635e+00 4.647843539320869240e+03
3.383383383383383514e+00 5.159844851503951446e+00 4.653669185118880705e+03
3.393393393393393520e+00 5.177077982220519736e+00 4.659475418484535112e+03
3.403403403403403527e+00 5.194332322933415291e+00 4.665262344674598353e+03
3.413413413413413533e+00 5.211607841442939204e+00 4.671030068171394305e+03
3.423423423423423539e+00 5.228904505719445872e+00 4.676778692689832496e+03
3.433433433433433546e+00 5.246222283901835759e+00 4.682508321184367560e+03
3.443443443443443552e+00 5.263561144296059702e+00 4.688219055855877741e+03
3.453453453453453559e+00 5.280921055373655193e+00 4.693910998158476104e+03
3.463463463463463565e+00 5.298301985770278222e+00 4.699584248806254436e+03
3.473473473473473572e+00 5.315703904284279524e+00 4.705238907779948022e+03
3.483483483483483578e+00 5.333126779875268397e+00 4.710875074333540397e+03
3.493493493493493585e+00 5.350570581662716485e+00 4.716492847000786242e+03
3.503503503503503591e+00 5.368035278924564224e+00 4.722092323601683347e+03
3.513513513513513598e+00 5.385520841095844169e+00 4.727673601248864543e+03
3.523523523523523604e+00 5.403027237767332736e+00 4.733236776353926871e+03
3.533533533533533610e+00 5.420554438684197507e+00 4.738781944633692547e+03
3.543543543543543617e+00 5.438102413744676511e+00 4.744309201116416261e+03
3.553553553553553623e+00 5.455671132998766382e+00 4.749818640147908809e+03
3.563563563563563630e+00 5.473260566646919401e+00 4.755310355397618878e+03
3.573573573573573636e+00 5.490870685038775179e+00 4.760784439864630258e+03
3.583583583583583643e+00 5.508501458671873685e+00 4.766240985883619032e+03
3.593593593593593649e+00 5.526152858190417128e+00 4.771680085130729822e+03
3.603603603603603656e+00 5.543824854384029166e+00 4.777101828629402007e+03
3.613613613613613662e+00 5.561517418186520345e+00 4.782506306756141385e+03
3.623623623623623669e+00 5.579230520674689942e+00 4.787893609246212691e+03
3.633633633633633675e+00 5.596964133067113600e+00 4.793263825199296662e+03
3.643643643643643681e+00 5.614718226722974492e+00 4.798617043085071600e+03
3.653653653653653688e+00 5.632492773140881148e+00 4.803953350748748562e+03
3.663663663663663694e+00 5.650287743957709274e+00 4.809272835416542875e+03
3.673673673673673701e+00 5.668103110947465773e+00 4.814575583701096548e+03
3.683683683683683707e+00 5.685938846020145654e+00 4.819861681606836100e+03
3.693693693693693714e+00 5.703794921220621816e+00 4.825131214535286745e+03
