# spectrum_type, zbin0, zbin1, separation, value
c_dcmbk 0 0 4.500000000000000000e+01 9.765746203617594530e-07
c_dcmbk 0 0 4.600000000000000000e+01 9.605483254066101400e-07
c_dcmbk 0 0 4.700000000000000000e+01 9.449571827874742037e-07
c_dcmbk 0 0 4.800000000000000000e+01 9.297910942060683602e-07
c_dcmbk 0 0 4.900000000000000000e+01 9.150383427661469000e-07
c_dcmbk 0 0 5.000000000000000000e+01 9.006759123362269586e-07
c_dcmbk 0 0 5.100000000000000000e+01 8.866759707898928345e-07
c_dcmbk 0 0 5.200000000000000000e+01 8.730106681257726348e-07
c_dcmbk 0 0 5.300000000000000000e+01 8.596521543424927728e-07
c_dcmbk 0 0 5.400000000000000000e+01 8.465725794386811439e-07
c_dcmbk 0 0 5.500000000000000000e+01 8.337440949064254430e-07
c_dcmbk 0 0 5.600000000000000000e+01 8.211437607905689770e-07
c_dcmbk 0 0 5.700000000000000000e+01 8.087644710801744905e-07
c_dcmbk 0 0 5.800000000000000000e+01 7.966023064527467602e-07
c_dcmbk 0 0 5.900000000000000000e+01 7.846533475857906684e-07
c_dcmbk 0 0 6.000000000000000000e+01 7.729136751568116271e-07
c_dcmbk 0 0 6.100000000000000000e+01 7.613793698433142011e-07
c_dcmbk 0 0 6.200000000000000000e+01 7.500465123228033788e-07
c_dcmbk 0 0 6.300000000000000000e+01 7.389113283742644097e-07
c_dcmbk 0 0 6.400000000000000000e+01 7.279763406416577348e-07
c_dcmbk 0 0 6.500000000000000000e+01 7.172526527834620446e-07
c_dcmbk 0 0 6.600000000000000000e+01 7.067519841514412815e-07
c_dcmbk 0 0 6.700000000000000000e+01 6.964860540973604464e-07
c_dcmbk 0 0 6.800000000000000000e+01 6.864665819729839050e-07
c_dcmbk 0 0 6.900000000000000000e+01 6.767052871300761291e-07
c_dcmbk 0 0 7.000000000000000000e+01 6.672138889204013783e-07
c_dcmbk 0 0 7.100000000000000000e+01 6.580041066957245480e-07
c_dcmbk 0 0 7.200000000000000000e+01 6.490870137001639606e-07
c_dcmbk 0 0 7.300000000000000000e+01 6.404645641183701459e-07
c_dcmbk 0 0 7.400000000000000000e+01 6.321319626862336484e-07
c_dcmbk 0 0 7.500000000000000000e+01 6.240842554466344813e-07
c_dcmbk 0 0 7.600000000000000000e+01 6.163164884424527634e-07
c_dcmbk 0 0 7.700000000000000000e+01 6.088237077165676606e-07
c_dcmbk 0 0 7.800000000000000000e+01 6.016009593118592919e-07
c_dcmbk 0 0 7.900000000000000000e+01 5.946432892712075644e-07
c_dcmbk 0 0 8.000000000000000000e+01 5.879457436374924910e-07
c_dcmbk 0 0 8.100000000000000000e+01 5.815033684535935555e-07
c_dcmbk 0 0 8.200000000000000000e+01 5.753106502196156420e-07
c_dcmbk 0 0 8.300000000000000000e+01 5.693543487023262579e-07
c_dcmbk 0 0 8.400000000000000000e+01 5.636155894644742230e-07
c_dcmbk 0 0 8.500000000000000000e+01 5.580753701620457854e-07
c_dcmbk 0 0 8.600000000000000000e+01 5.527146884510268758e-07
c_dcmbk 0 0 8.700000000000000000e+01 5.475145419874040600e-07
c_dcmbk 0 0 8.800000000000000000e+01 5.424559284271635863e-07
c_dcmbk 0 0 8.900000000000000000e+01 5.375198454262910676e-07
c_dcmbk 0 0 9.000000000000000000e+01 5.326872906407732815e-07
c_dcmbk 0 0 9.100000000000000000e+01 5.279392617265960528e-07
c_dcmbk 0 0 9.200000000000000000e+01 5.232567563397460533e-07
c_dcmbk 0 0 9.300000000000000000e+01 5.186207997179905030e-07
c_dcmbk 0 0 9.400000000000000000e+01 5.140166651511186902e-07
c_dcmbk 0 0 9.500000000000000000e+01 5.094384180644954904e-07
c_dcmbk 0 0 9.600000000000000000e+01 5.048812140042237977e-07
